transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,revenue,year,month,quarter
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Tr***@gmail.com,******6968,successful,40500.0,2025,12,4
2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,Sa***@yahoo.com,******8911,successful,227500.0,2025,7,3
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,Sa***@outlook.com,******1565,successful,123500.0,2025,7,3
4,794,Gerald Cooper,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,Ge***@gmail.com,******4201,successful,152000.0,2025,10,4
5,864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,Ca***@yahoo.com,******9477,successful,14250.0,2025,12,4
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,Ma***@gmail.com,******2717,successful,812500.0,2025,7,3
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,Ma***@gmail.com,******2717,failed,812500.0,2025,7,3
7,142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,Ch***@gmail.com,******6322,successful,475000.0,2026,3,1
8,457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Ca***@gmail.com,******7576,successful,66500.0,2026,2,1
9,749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,Li***@outlook.com,******4201,successful,94500.0,2025,8,3
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,Jo***@outlook.com,******9963,successful,84000.0,2025,12,4
11,946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,Li***@gmail.com,******0319,successful,22400.0,2025,12,4
12,757,Yvette Clark,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,Yv***@gmail.com,******6334,successful,180000.0,2025,6,2
13,838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,Su***@outlook.com,******6426,successful,211250.0,2025,6,2
14,117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,Br***@gmail.com,******7598,successful,260000.0,2026,2,1
15,923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,Ge***@gmail.com,******9222,successful,243750.0,2026,1,1
16,765,Eric Gaines,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,Er***@yahoo.com,******1327,successful,34000.0,2025,8,3
17,570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,Do***@gmail.com,******0219,successful,178500.0,2025,5,2
18,973,Allen Gilbert,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,Al***@outlook.com,******9731,successful,25500.0,2025,5,2
19,786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,Je***@outlook.com,******5116,successful,4160.0,2025,9,3
20,576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,An***@yahoo.com,******3539,successful,6800.0,2025,7,3
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Ni***@gmail.com,******1732,successful,185250.0,2025,12,4
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,Ki***@gmail.com,******2093,successful,156000.0,2025,3,1
23,104,Amanda Castillo,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,Am***@yahoo.com,******9548,successful,22500.0,2026,4,2
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,St***@gmail.com,******0744,successful,33750.0,2025,5,2
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Al***@gmail.com,******5109,successful,49000.0,2025,8,3
26,149,Ashley Mejia,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,As***@outlook.com,******6443,successful,76000.0,2026,1,1
27,927,Bradley Sparks,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,Br***@gmail.com,******0514,successful,180000.0,2025,11,4
28,868,Timothy Henderson,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Ti***@gmail.com,******8386,successful,35000.0,2025,11,4
29,1,Karen Pollard,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,Ka***@yahoo.com,******6363,successful,91000.0,2025,6,2
30,980,Alexis Andrews,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,Al***@gmail.com,******3841,successful,380000.0,2025,7,3
31,455,Morgan Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,Mo***@yahoo.com,******4087,successful,140000.0,2025,6,2
32,367,Joshua Tate,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,Jo***@outlook.com,******3716,successful,108000.0,2025,11,4
33,50,Stacey Henderson,104,8000.0,Shoes,Clothing,online,Mumbai,2025-06-14,-1,Card,0.4,St***@gmail.com,******2385,successful,-4800.0,2025,6,2
34,968,Keith Davis,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,Ke***@yahoo.com,******4512,successful,170000.0,2025,11,4
35,390,Erika Knight,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,Er***@gmail.com,******7025,successful,81000.0,2025,5,2
36,528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,Ke***@gmail.com,******0493,successful,126000.0,2025,7,3
37,46,Mallory Boyd,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,Ma***@gmail.com,******2449,successful,3510.0,2026,1,1
38,437,Carrie Landry,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,Ca***@outlook.com,******2206,successful,6000.0,2026,1,1
39,234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,Kr***@outlook.com,******3410,successful,7200.0,2025,12,4
40,391,Catherine Beard,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03,2,NetBanking,0.3,Ca***@gmail.com,******7305,successful,1820.0,2026,8,3
41,743,Dorothy Davis,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22,3,NetBanking,0.1,Do***@yahoo.com,******3600,successful,3510.0,2025,12,4
42,17,Duane Hall,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,Du***@outlook.com,******1149,successful,62999.99999999999,2025,7,3
43,861,Tim Brock,105,45000.0,Tv,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,Ti***@outlook.com,******1491,successful,135000.0,2025,5,2
44,213,Nancy Lee,104,8000.0,Shoes,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,Na***@yahoo.com,******7242,successful,18000.0,2025,5,2
45,220,Maria Walker,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,Ma***@gmail.com,******5210,successful,27200.0,2025,11,4
46,463,Kevin Cruz,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,Ke***@gmail.com,******4173,successful,36000.0,2025,4,2
47,429,Michael Welch,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,Mi***@gmail.com,******3250,successful,900000.0,2025,8,3
48,222,Emily Hernandez,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,Em***@gmail.com,******8256,successful,11250.0,2025,7,3
49,971,Larry Ramos,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10,5,UPI,0.2,La***@gmail.com,******5114,successful,5200.0,2025,7,3
50,670,Fernando Kelly,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,Fe***@yahoo.com,******4911,successful,340000.0,2025,5,2
51,485,James Harris,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,Ja***@yahoo.com,******7157,successful,90000.0,2025,7,3
52,883,Charles David,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,Ch***@yahoo.com,******7922,successful,4800.0,2025,7,3
53,202,Amanda Reed,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,Am***@yahoo.com,******7299,successful,1105.0,2025,11,4
54,817,Nicole Ross,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,Ni***@gmail.com,******9866,successful,112500.0,2025,7,3
55,801,Brandi Bryan,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,Br***@gmail.com,******6583,successful,28000.0,2025,10,4
56,284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,Er***@gmail.com,******8578,successful,9600.0,2026,2,1
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Mi***@gmail.com,******0077,successful,180000.0,2025,12,4
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Mi***@gmail.com,******0077,failed,180000.0,2025,12,4
58,873,Tracy Bass,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,Tr***@outlook.com,******8034,successful,637500.0,2025,10,4
59,854,Dennis Dorsey,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13,3,NetBanking,0.15,De***@yahoo.com,******2116,successful,38250.0,2025,7,3
60,874,Samuel Patel,106,80000.0,Sofa,Furniture,offline,Mumbai,2025-05-20,5,UPI,0.25,Sa***@gmail.com,******3067,successful,300000.0,2025,5,2
61,507,Thomas Cameron,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,Th***@outlook.com,******2264,successful,11200.0,2025,12,4
62,736,Lisa Lee,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,Li***@gmail.com,******6221,successful,30400.0,2025,6,2
63,182,Kathleen Castro,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,Ka***@outlook.com,******9367,successful,162500.0,2026,2,1
64,341,Cory Alvarado,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,Co***@outlook.com,******9155,successful,121500.0,2025,12,4
65,937,Nicole Woods,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,Ni***@yahoo.com,******9075,successful,22500.0,2025,4,2
66,164,Shawn Stewart,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,Sh***@gmail.com,******4854,successful,11200.0,2025,4,2
67,188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,Al***@gmail.com,******7624,successful,136500.0,2026,4,2
68,603,Shawn Roberson,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,Sh***@gmail.com,******2575,successful,27200.0,2025,9,3
69,656,Adam White,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,Ad***@yahoo.com,******8407,successful,7200.0,2025,8,3
70,687,Robert Estrada,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,UPI,0.1,Ro***@yahoo.com,******9773,successful,40500.0,2026,4,2
71,186,Dawn Garrett,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,Da***@gmail.com,******0201,successful,62999.99999999999,2026,1,1
72,865,Jessica Patterson,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,Je***@outlook.com,******0460,successful,56000.0,2026,4,2
73,523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,Em***@gmail.com,******9627,successful,900000.0,2026,3,1
74,907,Jeffrey Mccall,102,70000.0,Phone,Electronics,online,Hyderabad,2025-05-26,0,Card,0.4,Je***@gmail.com,******4650,successful,0.0,2025,5,2
75,729,Elizabeth Hunt,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,El***@outlook.com,******9121,successful,13500.0,2025,8,3
76,335,Jacob Evans,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-04-11,-2,NetBanking,0.35,Ja***@yahoo.com,******9310,successful,-1690.0,2026,4,2
77,780,Elizabeth Miller,110,45000.0,Microwave,Home Appliances,offline,Delhi,2025-09-14,0,Card,0.3,El***@yahoo.com,******9798,successful,0.0,2025,9,3
78,874,Samuel Patel,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,Sa***@gmail.com,******3067,successful,28800.0,2025,6,2
79,977,Gloria Navarro,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,Gl***@yahoo.com,******0862,successful,245000.0,2025,5,2
80,735,Elizabeth Kemp,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,El***@yahoo.com,******1868,successful,71250.0,2025,6,2
81,704,Susan Thomas,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14,5,UPI,0.25,Su***@outlook.com,******6032,successful,187500.0,2026,4,2
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,Kr***@yahoo.com,******9323,successful,600000.0,2025,6,2
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,Kr***@yahoo.com,******9323,failed,600000.0,2025,6,2
83,11,James Leblanc,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,NetBanking,0.2,Ja***@gmail.com,******0360,successful,108000.0,2025,6,2
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,An***@yahoo.com,******0361,successful,180000.0,2025,11,4
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,An***@yahoo.com,******0361,failed,180000.0,2025,11,4
85,108,Andrew Vazquez,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,An***@yahoo.com,******8527,successful,1125000.0,2025,8,3
86,427,Kelly Mccormick,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,Ke***@outlook.com,******6970,successful,4940.0,2026,1,1
87,454,Larry Perkins,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,La***@yahoo.com,******5336,successful,59500.0,2025,11,4
88,975,Jacqueline Doyle,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,Ja***@outlook.com,******0490,successful,108000.0,2026,2,1
89,992,William Rose,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,Wi***@gmail.com,******0906,successful,212500.0,2025,12,4
90,439,Billy James,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,Bi***@outlook.com,******7874,successful,126000.0,2026,3,1
91,645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,Jo***@outlook.com,******6788,successful,42000.0,2026,1,1
92,728,Lisa Miller,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28,1,NetBanking,0.05,Li***@gmail.com,******3795,successful,14250.0,2026,3,1
93,403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,Ta***@gmail.com,******9832,successful,297500.0,2025,12,4
94,50,Stacey Henderson,104,8000.0,Shoes,Clothing,online,Mumbai,2025-02-11,4,Cash,0.25,St***@gmail.com,******2385,successful,24000.0,2025,2,1
95,478,Crystal Mejia,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,Cr***@outlook.com,******1187,successful,30000.0,2025,7,3
96,153,Stephanie Hanna,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,St***@outlook.com,******8701,successful,38250.0,2025,12,4
97,723,Christopher Walter,106,80000.0,Sofa,Furniture,offline,Hyderabad,2026-02-27,0,NetBanking,0.15,Ch***@gmail.com,******5707,successful,0.0,2026,2,1
98,372,Brandon Gordon,105,45000.0,Tv,Electronics,offline,Mumbai,2025-10-31,5,UPI,0.15,Br***@gmail.com,******1702,successful,191250.0,2025,10,4
99,753,Kelly Ball,102,70000.0,Phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,Ke***@gmail.com,******2869,successful,178500.0,2025,10,4
100,864,Cameron Black,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-04-20,1,UPI,0.15,Ca***@yahoo.com,******9477,successful,55250.0,2025,4,2
101,645,Joshua Burton,102,70000.0,Phone,Electronics,online,Mumbai,2026-02-19,1,Card,0.25,Jo***@outlook.com,******6788,successful,52500.0,2026,2,1
102,1000,Shannon Haley,103,1300.0,Shirt,Clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,Sh***@gmail.com,******6701,successful,3315.0,2025,5,2
